feature,mean_shap,mean_abs_shap,std_shap,shap_positive_pct
TechSupport_Yes,-0.0014436295473145907,0.042211727963478704,0.04700250435049028,70.6
gender_Female,-0.0078071373905571895,0.041806390179902835,0.04150021477551616,47.599999999999994
internet_premium_interaction,-0.0033553466646800336,0.03262243351822241,0.03863595202482148,61.5
premium_service_count,-0.0033553466646800336,0.03262243351822241,0.03863595202482148,61.5
tech_support_dependency,-0.0033553466646800336,0.03262243351822241,0.03863595202482148,61.5
StreamingMovies_No,-0.0036694619540953337,0.03039215769348082,0.031642394493736826,59.3
tenure_months,0.0009612677260256694,0.029286074090405283,0.033379822866626,49.3
has_autopay,-0.0020638328534401174,0.029253356531189764,0.029247758324859315,43.5
StreamingMovies_Yes,-0.0013112485785179828,0.028070255933583133,0.028758223456919346,36.8
StreamingTV_No,-5.325865797753796e-05,0.025574807560813755,0.026115182923364608,59.9
gender_Male,0.004720141722133422,0.025275856779288102,0.025090745229658575,52.400000000000006
DeviceProtection_No,0.004759499363116857,0.024730751226785124,0.024324407604741465,56.699999999999996
high_spend_flag,-0.0012601829809036587,0.023288181487099463,0.023340505895074023,51.300000000000004
StreamingTV_Yes,0.0016484675797726603,0.022287281678526383,0.02347154711781672,37.4
PhoneService_No,-0.002720377423115715,0.020981268820177743,0.04078937103721127,91.10000000000001
MultipleLines_No phone service,-0.002720377423115715,0.020981268820177743,0.04078937103721127,91.10000000000001
Dependents_No,0.001133016504411346,0.019655570318528062,0.020876409414598902,69.5
PaymentMethod_Bank transfer (automatic),0.0008042097366594804,0.019140191732495652,0.02239945408844471,77.5
DeviceProtection_Yes,0.005846634597867748,0.018087361396858133,0.02102206026307166,34.2
total_charges,-0.00045875455648036376,0.01762582797095876,0.021073900448402575,36.3
PaperlessBilling_Yes,-0.0013760148285076235,0.017557949211757268,0.017686894954580965,39.2
Partner_Yes,-0.0009496408545604237,0.013878163170999505,0.013953391249840233,52.6
MultipleLines_Yes,-8.032722673930132e-05,0.012836290832940335,0.013107283229944923,39.7
OnlineBackup_Yes,0.00017078669754998726,0.009382167229908499,0.009979851808563901,67.80000000000001
MultipleLines_No,0.0002698705578533574,0.008419286728630095,0.00843436660849791,48.6
OnlineBackup_No,0.0007126828513035557,0.008146793691389521,0.008254444908696599,45.300000000000004
Contract_Month-to-month,-0.00018715003110445858,0.004345267245995806,0.004415527898103157,56.89999999999999
PaymentMethod_Credit card (automatic),-0.00020187187352884814,0.0034661400684903266,0.004113260991148074,21.0
PhoneService_Yes,-0.00018826781523127327,0.001452040297052143,0.002822889833072574,91.10000000000001
